"File Path","Type","Severity","Message","Suggestion"
"resources\js\Components\Form\NumberInput.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\Form\NumberInput.tsx","missing-glass-theme-import","warning","Component uses glass theme utilities but does not import them","Add: import { themes, cn } from ""@/theme/glass-theme"";"
"resources\js\Components\Form\NumberInput.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Form\FileInput.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Form\FieldGroup.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\Form\FieldGroup.tsx","missing-glass-theme-import","warning","Component uses glass theme utilities but does not import them","Add: import { themes, cn } from ""@/theme/glass-theme"";"
"resources\js\Components\Form\FieldGroup.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Form\DateInput.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Form\CheckboxInput.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\Form\CheckboxInput.tsx","missing-glass-theme-import","warning","Component uses glass theme utilities but does not import them","Add: import { themes, cn } from ""@/theme/glass-theme"";"
"resources\js\Components\Form\CheckboxInput.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\GhostAiUi\VoiceAssistant.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\FilterBar\FilterBar.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Episodes\MacValidationPanel.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\Episodes\MacValidationPanel.tsx","missing-glass-theme-import","warning","Component uses glass theme utilities but does not import them","Add: import { themes, cn } from ""@/theme/glass-theme"";"
"resources\js\Components\Episodes\MacValidationPanel.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Episodes\IVREpisodeStatus.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Episodes\EpisodeTimeline.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\Episodes\EpisodeTimeline.tsx","missing-glass-theme-import","warning","Component uses glass theme utilities but does not import them","Add: import { themes, cn } from ""@/theme/glass-theme"";"
"resources\js\Components\Episodes\EpisodeQuickActions.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Episodes\EpisodeCardMobile.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\Episodes\EpisodeCardMobile.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Episodes\EpisodeCardMobile.tsx","responsive-theme-without-context","warning","Component uses dark:/light: classes but may not have proper theme context","Ensure component is wrapped in ThemeProvider or import useTheme"
"resources\js\Components\Episodes\EpisodeCard.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\DiagnosisCode\DiagnosisCodeSelector.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\DiagnosisCode\DiagnosisCodeSelector.test.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\Button\LoadingButton.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Button\DeleteButton.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\Button\DeleteButton.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Button\CloseButton.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Alert\Alert.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Admin\TrackingManager.tsx","missing-glass-theme-import","warning","Component uses glass theme utilities but does not import them","Add: import { themes, cn } from ""@/theme/glass-theme"";"
"resources\js\Components\Admin\TrackingManager.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Admin\SendToManufacturer.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\Admin\SendToManufacturer.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Admin\SendToManufacturer.tsx","responsive-theme-without-context","warning","Component uses dark:/light: classes but may not have proper theme context","Ensure component is wrapped in ThemeProvider or import useTheme"
"resources\js\Components\Admin\IVRExpirationWarning.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\Admin\IVRExpirationWarning.tsx","responsive-theme-without-context","warning","Component uses dark:/light: classes but may not have proper theme context","Ensure component is wrapped in ThemeProvider or import useTheme"
"resources\js\Components\Admin\IVREpisodeStatus.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Admin\ConfirmationDocuments.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Components\Admin\ConfirmationDocuments.tsx","missing-glass-theme-import","warning","Component uses glass theme utilities but does not import them","Add: import { themes, cn } from ""@/theme/glass-theme"";"
"resources\js\Components\Admin\ConfirmationDocuments.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Components\Admin\ConfirmationDocuments.tsx","responsive-theme-without-context","warning","Component uses dark:/light: classes but may not have proper theme context","Ensure component is wrapped in ThemeProvider or import useTheme"
"resources\js\Components\Admin\AuditLog.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Pages\QuickRequest\Components\Step8OrderFormApproval.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Pages\QuickRequest\Components\Step7FinalSubmission.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Pages\QuickRequest\Components\Step7FinalSubmission.tsx","missing-glass-theme-import","warning","Component uses glass theme utilities but does not import them","Add: import { themes, cn } from ""@/theme/glass-theme"";"
"resources\js\Pages\QuickRequest\Components\Step7FinalSubmission.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Pages\QuickRequest\Components\Step7DocusealIVR.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Pages\QuickRequest\Components\Step6ReviewSubmit.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Pages\QuickRequest\Components\Step6ReviewSubmit.tsx","missing-glass-theme-import","warning","Component uses glass theme utilities but does not import them","Add: import { themes, cn } from ""@/theme/glass-theme"";"
"resources\js\Pages\QuickRequest\Components\Step6ReviewSubmit.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Pages\QuickRequest\Components\Step5ProductSelection.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Pages\QuickRequest\Components\Step4Confirmation.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Pages\QuickRequest\Components\Step4Confirmation.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Pages\QuickRequest\Components\Step4Confirmation.tsx","responsive-theme-without-context","warning","Component uses dark:/light: classes but may not have proper theme context","Ensure component is wrapped in ThemeProvider or import useTheme"
"resources\js\Pages\QuickRequest\Components\Step4ClinicalBilling.tsx","missing-glass-theme-import","warning","Component uses glass theme utilities but does not import them","Add: import { themes, cn } from ""@/theme/glass-theme"";"
"resources\js\Pages\QuickRequest\Components\Step4ClinicalBilling.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Pages\QuickRequest\Components\Step3Documentation.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Pages\QuickRequest\Components\Step3Documentation.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Pages\QuickRequest\Components\Step2ProductSelection.tsx","missing-glass-theme-import","warning","Component uses glass theme utilities but does not import them","Add: import { themes, cn } from ""@/theme/glass-theme"";"
"resources\js\Pages\QuickRequest\Components\Step2ProductSelection.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Pages\QuickRequest\Components\Step2PatientInsurance.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Pages\QuickRequest\Components\Step2PatientInsurance.tsx","responsive-theme-without-context","warning","Component uses dark:/light: classes but may not have proper theme context","Ensure component is wrapped in ThemeProvider or import useTheme"
"resources\js\Pages\QuickRequest\Components\Step1PatientInfoNew.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Pages\Provider\Episodes\Index.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Pages\Provider\Orders\Dashboard.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Pages\ProductRequest\Components\PatientInformationStep.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Pages\Dashboard\Sales\MscSubrepDashboard.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Pages\Dashboard\Sales\MscRepDashboard.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Pages\Dashboard\Sales\MscRepDashboard.tsx","missing-glass-theme-import","warning","Component uses glass theme utilities but does not import them","Add: import { themes, cn } from ""@/theme/glass-theme"";"
"resources\js\Pages\Dashboard\Sales\MscRepDashboard.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Pages\Dashboard\Provider\ProviderDashboard.tsx","unsafe-theme-access","critical","Component has unsafe theme access patterns","Use safe destructuring: const { theme = ""dark"" } = useTheme() ?? {};"
"resources\js\Pages\Dashboard\OfficeManager\OfficeManagerDashboard.tsx","missing-theme-import","warning","Component uses theme-related patterns but does not import useTheme","Add: import { useTheme } from ""@/contexts/ThemeContext"";"
"resources\js\Pages\Dashboard\OfficeManager\OfficeManagerDashboard.tsx","missing-glass-theme-import","warning","Component uses glass theme utilities but does not import them","Add: import { themes, cn } from ""@/theme/glass-theme"";"
